#structure	resolution	length	predicted_missing_bps	filtered_missing_bps	unpaired_fraction
5a2q	3.9	1922	56	30	0.0156
6gwt	3.8	4639	236	156	0.0336
6z6n	2.9	5789	348	148	0.0256
8t2p	5.0	287	6	6	0.0209
5gan	3.6	345	28	12	0.0348
8e48	2.27	3016	305	226	0.0749
6tpq	3.07	3047	168	92	0.0302
7z20	2.29	3096	169	94	0.0304
8fjk	3.3	476	0	0	0.0
7nhm	3.1	4554	144	84	0.0184
6id0	2.9	380	55	16	0.0421
8bgh	2.88	4497	320	210	0.0467
8ccs	1.97	5238	239	102	0.0195
8e49	2.05	3016	127	72	0.0239
8e43	2.09	3015	122	62	0.0206
8oj8	3.3	3783	196	92	0.0243
8ana	2.1	2852	81	46	0.0161
8ia0	2.7	3184	152	54	0.017
7m4x	2.66	4453	142	80	0.018
7xd6	2.84	459	30	14	0.0305
7olc	2.9	5231	812	612	0.117
7yr6	4.8	118	12	8	0.0678
8ppk	2.98	1771	63	30	0.0169
8phj	3.67	4644	200	106	0.0228
6vys	3.7	4752	286	166	0.0349
7nhn	2.9	4617	186	88	0.0191
8e33	2.23	3015	120	74	0.0245
6zxh	2.7	1651	55	26	0.0157
8bf9	2.69	1864	152	40	0.0215
5v7q	3.7	3233	288	210	0.065
5xy3	3.2	2815	148	88	0.0313
8apo	3.2	2749	248	134	0.0487
8byv	2.89	1533	70	42	0.0274
7a01	3.6	6055	562	274	0.0453
6wd3	3.6	4810	216	118	0.0245
6j6n	3.86	544	68	16	0.0294
8evp	2.38	5451	361	188	0.0345
7bof	2.92	1070	20	6	0.0056
7bl2	3.7	3021	152	98	0.0324
5g2x	3.8	704	234	222	0.3153
8uys	4.7	124	0	0	0.0
6wd2	3.6	4810	222	132	0.0274
5mdy	3.35	4638	159	102	0.022
8dmb	3.1	275	6	2	0.0073
6htq	4.5	4769	444	324	0.0679
8dzj	2.9	190	8	6	0.0316
8r57	2.55	458	22	8	0.0175
6o8w	3.53	4620	308	204	0.0442
7of2	2.7	1466	39	14	0.0095
6xdr	4.7	4760	286	166	0.0349
7v9a	3.94	146	24	20	0.137
6zuo	3.1	1665	44	18	0.0108
5wdt	3.0	4802	265	182	0.0379
6gbz	3.8	2908	200	148	0.0509
8cgk	1.64	2738	65	32	0.0117
6s12	3.2	3017	190	124	0.0411
7oyd	2.3	5319	258	126	0.0237
7scq	6.0	169	10	10	0.0592
8idy	3.0	3861	338	180	0.0466
7p7t	2.9	4697	136	70	0.0149
7wtu	3.0	1575	50	20	0.0127
7pnw	3.09	954	20	10	0.0105
8agv	2.6	3642	142	44	0.0121
7bhp	3.3	3956	273	120	0.0303
6ytf	3.0	477	14	10	0.021
7a5j	3.1	1694	77	26	0.0153
6z6m	3.1	5799	340	150	0.0259
8evt	2.2	5310	319	154	0.029
8c01	2.7	1545	78	46	0.0298
5afi	2.9	4800	246	148	0.0308
8pv5	2.86	3331	152	56	0.0168
6rxy	4.7	1336	90	28	0.021
7f0d	3.3	3233	180	116	0.0359
8cf1	1.82	485	12	6	0.0124
7uy6	2.9	170	20	14	0.0824
7pny	3.06	951	16	14	0.0147
7nsh	3.2	1611	38	22	0.0137
8sa3	3.0	420	30	24	0.0571
8pv1	2.56	3435	166	72	0.021
6o8z	3.49	4542	249	144	0.0317
5ju8	3.6	4712	205	108	0.0229
8fkz	3.04	3055	148	62	0.0203
8pv8	2.91	3350	138	54	0.0161
8ctl	3.1	233	6	2	0.0086
7qxa	3.2	265	46	34	0.1283
7ohw	3.5	1853	120	48	0.0259
7qv3	5.14	4635	218	128	0.0276
7jsw	3.8	4655	225	118	0.0253
7pwf	2.85	1355	77	40	0.0295
6lsr	3.13	3756	237	104	0.0277
5zwo	3.9	584	42	0	0.0
7zq6	2.75	3095	156	78	0.0252
7ljy	5.6	100	2	2	0.02
6p5j	3.1	5766	572	380	0.0659
8hrb	3.78	102	2	2	0.0196
6rxz	4.4	1717	120	36	0.021
7y7h	2.51	4558	152	68	0.0149
6r6g	3.7	5874	369	192	0.0327
6gxn	3.9	4638	246	160	0.0345
8cdl	2.72	5239	248	96	0.0183
6ys5	3.0	477	22	18	0.0377
8cvm	2.66	3099	148	86	0.0278
6wdc	4.2	4807	234	140	0.0291
7qgh	4.48	4716	213	98	0.0208
7afi	3.53	1066	22	6	0.0056
8jdj	2.5	5586	290	128	0.0229
5gae	3.33	3007	74	32	0.0106
8auv	2.38	1638	68	38	0.0232
7o5b	3.33	4883	366	252	0.0516
7as9	3.5	2999	100	44	0.0147
8wi7	3.5	4658	161	88	0.0189
8uu5	3.0	4627	166	92	0.0199
7nac	3.04	2906	236	112	0.0385
7qh4	5.45	4733	162	90	0.019
5xxu	3.35	1619	92	70	0.0432
7ohr	4.72	2595	162	96	0.037
8cf8	2.2	460	12	6	0.013
8g34	3.2	4559	256	140	0.0307
8g31	3.2	4559	310	182	0.0399
8cec	3.57	1340	58	36	0.0269
6dzp	3.42	3237	146	94	0.029
5flx	3.9	1972	128	66	0.0335
7r6l	2.85	366	8	4	0.0109
8crx	2.78	4614	231	138	0.0299
6c4h	3.1	648	51	10	0.0154
8fl4	2.89	3758	170	70	0.0186
8c93	4.17	1740	64	38	0.0218
5jb3	5.34	1589	66	46	0.0289
7sym	4.8	1859	160	90	0.0484
6wdr	3.7	1647	244	152	0.0923
7of3	2.7	1443	45	8	0.0055
7eld	4.6	109	2	2	0.0183
7syn	4.0	1859	150	92	0.0495
8bil	2.04	4499	238	140	0.0311
6vyq	3.7	4758	286	166	0.0349
8a57	2.3	3022	114	66	0.0218
6ny3	3.7	164	6	0	0.0
5mqf	5.9	387	40	18	0.0465
7zuw	4.3	5289	258	128	0.0242
6qw6	2.92	271	14	4	0.0148
8fkv	2.47	2434	120	52	0.0214
7uo1	3.2	455	68	38	0.0835
7nat	3.59	1430	40	18	0.0126
7pub	3.7	533	120	20	0.0375
8eiu	2.24	4551	163	76	0.0167
7wtx	3.1	1605	40	18	0.0112
7elm	2.88	120	36	0	0.0
5uz5	3.56	308	8	6	0.0195
5kcs	3.9	4641	382	290	0.0625
7xsn	3.01	387	10	6	0.0155
6rw4	2.97	955	22	18	0.0188
7oi7	3.5	1110	33	8	0.0072
8ifd	2.59	5712	458	212	0.0371
3jaj	3.75	5935	606	366	0.0617
7asp	2.86	4282	695	482	0.1126
7ptk	5.18	720	0	0	0.0
6zvh	2.9	1797	90	54	0.0301
8fto	1.85	4490	155	82	0.0183
7zj5	4.55	374	4	4	0.0107
8uu8	3.1	4614	202	110	0.0238
7yoj	3.36	216	10	8	0.037
5it9	3.8	1951	142	86	0.0441
7wts	3.2	1481	42	20	0.0135
7oe1	3.05	1530	53	30	0.0196
7top	2.4	3550	183	86	0.0242
5nwy	2.9	4633	197	100	0.0216
8a3l	3.42	4722	255	146	0.0309
7qi4	2.21	2762	114	58	0.021
6j6h	3.6	551	60	12	0.0218
7waz	3.4	157	26	14	0.0892
5z56	5.1	382	30	4	0.0105
6o9k	4.0	4594	252	140	0.0305
6zok	2.8	1232	52	36	0.0292
8fl2	2.67	3838	164	68	0.0177
7oia	3.2	1221	37	10	0.0082
6vu3	3.7	4755	286	166	0.0349
5kps	3.9	4734	176	82	0.0173
6ywy	3.05	4362	279	156	0.0358
7acr	3.44	4920	327	198	0.0402
7wtp	3.8	1255	26	14	0.0112
7egq	3.35	116	8	8	0.069
7tql	3.2	1731	76	42	0.0243
6enj	3.7	4693	416	326	0.0695
7wtn	3.4	1200	34	18	0.015
6th6	2.55	4522	159	94	0.0208
7rr5	3.23	5425	268	118	0.0218
5vzl	3.9	116	16	2	0.0172
6tnn	3.07	3046	130	72	0.0236
7d4i	4.0	1671	170	70	0.0419
7w5a	3.6	391	46	2	0.0051
7afk	4.9	456	26	20	0.0439
6pvk	3.4	2169	170	116	0.0535
8inf	3.0	3872	284	132	0.0341
7ot5	2.9	4648	143	72	0.0155
8tjq	3.4	433	20	8	0.0185
5z3g	3.65	1722	125	74	0.043
7ryg	2.38	4408	162	108	0.0245
8pv3	2.8	3355	162	66	0.0197
7yga	2.35	407	10	4	0.0098
7z3n	3.2	5238	460	304	0.058
3j92	3.6	4011	264	98	0.0244
6yws	2.74	2820	151	84	0.0298
6n8k	3.6	3479	295	188	0.054
6tbv	2.7	4634	156	74	0.016
6zj3	3.15	6027	335	168	0.0279
7nbu	3.11	4648	252	142	0.0306
8evs	2.62	5452	323	176	0.0323
8rct	5.32	6405	281	164	0.0256
7ane	3.9	1688	402	78	0.0462
5mrf	4.97	4286	209	94	0.0219
7cpu	2.82	5537	357	158	0.0285
8fkt	2.81	2346	112	48	0.0205
7bv8	3.14	3017	136	74	0.0245
8caz	2.11	460	10	6	0.013
8any	2.85	2834	120	62	0.0219
5uyn	4.0	4809	225	130	0.027
5mq0	4.17	448	6	2	0.0045
6x9q	4.8	4759	286	166	0.0349
7l49	3.1	190	4	4	0.0211
7nhk	2.9	4623	140	66	0.0143
8fl3	2.53	3765	170	70	0.0186
8t4s	2.6	1671	66	36	0.0215
6yss	2.6	4646	167	80	0.0172
8hku	2.72	3135	124	74	0.0236
6zto	3.0	4793	172	84	0.0175
8cvo	2.95	471	8	6	0.0127
7r6q	2.98	439	33	10	0.0228
8g6j	2.8	5828	261	100	0.0172
7q0f	2.64	5180	262	114	0.022
6ddg	3.1	2750	102	64	0.0233
6gb2	3.2	1687	42	20	0.0119
6zce	5.3	1721	92	52	0.0302
5oql	3.2	1580	98	40	0.0253
8ea3	3.7	495	36	22	0.0444
5lza	3.6	4684	206	110	0.0235
8e32	2.35	3016	187	122	0.0405
8fld	2.58	3718	193	74	0.0199
7syr	3.6	1960	140	72	0.0367
8cgd	1.98	2867	62	28	0.0098
7p7s	3.0	4625	136	64	0.0138
8sa5	3.5	345	14	14	0.0406
8b6c	2.79	3890	162	70	0.018
7pkt	3.0	1901	194	94	0.0494
6w7w	3.9	871	22	14	0.0161
6vlz	2.97	2598	111	54	0.0208
8p09	3.3	1825	122	62	0.034
3j81	4.0	1862	138	84	0.0451
5xym	3.08	2781	151	102	0.0367
8cbj	3.8	1767	56	32	0.0181
6o8y	4.14	4538	264	162	0.0357
6ysu	3.7	4645	201	124	0.0267
6g5i	3.5	1657	64	34	0.0205
7nsp	3.5	4733	170	100	0.0211
6vyr	3.8	4761	286	166	0.0349
8flb	2.55	3694	179	68	0.0184
8wid	3.5	1533	44	26	0.017
8sa4	3.1	236	12	12	0.0508
7uvw	2.37	4442	130	70	0.0158
7qp6	4.7	1791	108	56	0.0313
8cf5	2.71	5238	243	102	0.0195
6g18	3.6	1658	60	26	0.0157
6woo	2.9	5395	334	180	0.0334
7oid	3.7	1601	57	16	0.01
6qtz	3.5	3423	205	104	0.0304
6xir	3.2	5245	406	240	0.0458
5uyp	3.9	4811	205	114	0.0237
7b5k	2.9	4790	151	86	0.018
6hrm	2.96	4570	253	170	0.0372
8ohd	3.1	3742	160	58	0.0155
5mgp	3.1	4642	208	128	0.0276
6ddd	3.1	2750	98	62	0.0225
5umd	3.2	3460	112	46	0.0133
7p3k	2.9	4469	157	76	0.017
6lqm	3.09	3807	213	90	0.0236
7zux	2.5	5360	275	136	0.0254
5u4i	3.5	4715	246	172	0.0365
8bim	2.04	4499	220	122	0.0271
6nu3	4.4	2453	119	56	0.0228
7ac7	3.08	5017	341	228	0.0454
8oip	3.6	1040	50	42	0.0404
7r7c	3.71	226	14	14	0.0619
7qi6	2.98	2756	123	58	0.021
7n3p	3.65	259	22	20	0.0772
7boh	2.82	1527	34	14	0.0092
7s1k	2.42	4638	225	122	0.0263
6zqg	3.5	1419	72	36	0.0254
8syl	2.9	4729	194	116	0.0245
8b2l	2.2	5268	252	116	0.022
6rxv	4.0	1805	114	28	0.0155
8rcl	3.49	6498	284	162	0.0249
7ug6	2.9	3337	154	68	0.0204
7tos	2.9	4555	184	100	0.022
6qyz	4.6	345	45	46	0.1333
7xsk	3.53	388	10	4	0.0103
6oig	3.8	3522	214	110	0.0312
7ttw	2.9	2801	176	120	0.0428
8oj0	3.3	3742	198	90	0.0241
7v2m	3.4	1486	78	60	0.0404
8cam	1.86	2724	70	38	0.014
7qp7	3.7	1812	136	76	0.0419
7uvv	2.5	4447	128	68	0.0153
6snt	2.8	5331	240	102	0.0191
6w6k	3.6	1534	119	90	0.0587
7po1	2.92	955	26	22	0.023
6rzz	3.2	3423	190	104	0.0304
7oig	3.2	4651	139	68	0.0146
6ybs	3.1	501	24	8	0.016
8fzt	3.03	149	26	22	0.1477
6yhs	2.7	2800	78	46	0.0164
7w0e	4.03	104	12	12	0.1154
6swa	3.1	3888	360	206	0.053
7c7l	3.3	157	0	0	0.0
7qiy	2.58	491	34	18	0.0367
8oj5	2.9	3742	168	64	0.0171
6sj6	3.23	2697	419	360	0.1335
7uo5	3.1	373	43	36	0.0965
8jg9	3.82	222	12	2	0.009
8ip9	3.0	1773	94	48	0.0271
7o9m	2.6	1514	57	16	0.0106
8hkz	4.78	4772	202	116	0.0243
8p2k	2.9	5888	291	150	0.0255
8qo4	5.9	156	54	50	0.3205
6gq1	4.4	5361	326	178	0.0332
8fn2	3.4	2874	205	152	0.0529
6xu7	4.9	5724	972	716	0.1251
6gaw	3.2	2664	62	30	0.0113
7kwg	3.75	1584	66	44	0.0278
7qv2	3.5	4726	222	140	0.0296
7y7e	2.41	4557	154	70	0.0154
8c8y	3.03	2667	132	72	0.027
8g38	3.2	4559	290	166	0.0364
8am9	2.8	4554	179	88	0.0193
7uqb	2.43	3328	150	58	0.0174
6yst	3.2	4643	205	108	0.0233
7zj4	4.43	374	4	2	0.0053
8c9b	5.9	572	16	10	0.0175
8wif	2.9	1517	41	26	0.0171
7syx	3.7	1960	146	92	0.0469
8t2s	3.0	551	10	8	0.0145
7pnv	3.06	951	20	10	0.0105
8whx	2.8	4652	141	84	0.0181
6zqf	4.9	1447	148	98	0.0677
6ff4	3.4	273	10	10	0.0366
7af8	2.75	456	12	6	0.0132
6me0	3.6	845	22	16	0.0189
7syu	4.6	1960	144	80	0.0408
8c83	3.0	1177	35	18	0.0153
7sys	3.5	1960	126	74	0.0378
7a5f	4.4	2643	153	86	0.0325
6w77	3.6	1519	85	62	0.0408
8brm	3.33	4307	312	152	0.0353
8c94	3.8	1787	74	36	0.0201
7af3	2.82	456	18	10	0.0219
7a5h	3.3	1586	63	18	0.0113
7aqd	3.1	3106	100	60	0.0193
7ozs	3.5	119	4	4	0.0336
8g5y	2.29	5699	247	122	0.0214
6szs	3.06	4646	158	82	0.0176
6id1	2.86	374	63	20	0.0535
7bt6	3.12	3241	332	204	0.0629
8bhp	2.37	4499	288	184	0.0409
7msh	3.23	4833	678	562	0.1163
7qq3	2.1	3016	73	34	0.0113
6gc8	3.8	3016	188	134	0.0444
7aih	3.6	1087	254	60	0.0552
7r72	3.07	700	56	24	0.0343
8e3m	2.25	3016	119	56	0.0186
6wdh	4.3	4807	224	130	0.027
6z6l	3.0	5789	329	136	0.0235
6w6v	3.0	294	45	20	0.068
6rxu	3.5	1805	104	30	0.0166
7suk	3.99	1849	215	114	0.0617
7unw	2.6	4605	217	132	0.0287
7o81	3.1	5971	256	112	0.0188
6hiy	3.27	478	91	12	0.0251
5mrc	3.25	4286	213	98	0.0229
7v2l	3.3	1507	74	48	0.0319
5xxb	3.17	3352	202	96	0.0286
7syp	4.0	1929	116	64	0.0332
6wde	3.0	4810	192	102	0.0212
6ppf	3.4	2583	180	124	0.048
7zag	2.77	1596	65	34	0.0213
5wlc	3.8	1682	146	66	0.0392
8i7j	4.6	1766	166	108	0.0612
6c4i	3.24	4717	165	100	0.0212
8tjv	2.99	409	20	8	0.0196
6wdk	3.6	4810	206	116	0.0241
6sw9	4.2	1593	165	120	0.0753
8c00	2.9	1425	52	32	0.0225
7asm	2.48	2948	132	86	0.0292
8ced	4.15	1340	66	40	0.0299
7mpj	2.7	5183	332	158	0.0305
6k0b	4.3	682	52	28	0.0411
8cgu	1.89	1078	22	8	0.0074
6nqb	3.8	1341	156	126	0.094
6s0k	3.1	3006	127	62	0.0206
5gah	3.8	3049	135	72	0.0236
8g5z	2.64	5828	261	100	0.0172
5yzg	4.1	384	34	0	0.0
8ipy	3.2	3756	291	124	0.033
5uyk	3.9	4812	198	102	0.0212
7r4x	2.15	1646	73	46	0.0279
7v2q	3.24	1391	38	32	0.023
7am2	3.4	838	204	40	0.0477
7wtw	3.2	1586	40	14	0.0088
5o5j	3.45	1536	40	24	0.0156
8p03	3.04	1827	112	56	0.0307
8fkp	2.85	1728	86	44	0.0255
8pvk	2.55	3495	162	66	0.0189
7oi9	3.3	1148	39	12	0.0105
8exa	3.14	137	4	2	0.0146
7obq	3.9	165	8	8	0.0485
6tnu	3.1	5391	247	120	0.0223
8aye	1.96	4475	181	92	0.0206
7ryf	2.65	4408	176	112	0.0254
7a5g	4.33	2721	131	60	0.0221
7s1j	2.47	4556	194	98	0.0215
7uvx	2.35	4358	128	68	0.0156
5mmj	3.65	1484	24	10	0.0067
6ahr	3.92	341	38	8	0.0235
7jqq	4.1	705	72	72	0.1021
6swd	3.2	1064	84	60	0.0564
7ptl	4.9	720	4	4	0.0056
6ydw	4.2	2719	102	62	0.0228
6n7p	3.6	580	26	12	0.0207
8cgv	1.66	2743	56	22	0.008
7nas	3.31	974	24	8	0.0082
5nd9	3.7	4569	234	132	0.0289
8eyt	2.8	1415	118	98	0.0693
5ngm	2.9	4557	276	190	0.0417
7ohs	4.38	1909	178	102	0.0534
6wu9	2.9	2855	96	58	0.0203
5jbh	5.34	1589	68	52	0.0327
7q0r	2.67	5194	267	134	0.0258
8bh7	4.23	1541	82	70	0.0454
7syi	4.5	1859	147	96	0.0516
7wtq	3.7	1255	36	20	0.0159
7ajt	4.6	2014	262	176	0.0874
6s13	3.58	4553	418	300	0.0659
7xk1	4.3	146	8	4	0.0274
6dnc	3.7	4735	219	128	0.027
8ir3	3.5	3803	329	160	0.0421
8sa2	3.1	420	20	20	0.0476
6ore	2.9	4642	161	94	0.0202
5x8r	3.7	1480	29	16	0.0108
6ztn	3.9	4872	175	92	0.0189
6wdl	3.7	4810	202	104	0.0216
8oin	3.6	2687	200	140	0.0521
6wd0	3.0	4734	196	106	0.0224
6pom	4.9	230	12	12	0.0522
8eyq	3.3	1525	74	50	0.0328
6nu2	3.9	2453	115	60	0.0245
7pnx	2.76	951	14	12	0.0126
7a5k	3.7	2643	105	42	0.0159
8jsh	4.4	1074	62	46	0.0428
7pjv	3.1	4727	201	114	0.0241
6lqt	4.9	1501	156	66	0.044
8uu9	3.1	4610	172	88	0.0191
8om3	2.87	1487	39	20	0.0134
7nso	2.9	4653	146	78	0.0168
8i9p	3.0	1563	88	30	0.0192
7nax	2.96	1526	36	16	0.0105
6p4h	3.2	1900	114	64	0.0337
8bhf	3.1	5649	312	148	0.0262
6ogf	3.9	4655	242	152	0.0327
7of7	2.5	1432	52	12	0.0084
7afa	2.95	456	16	10	0.0219
7of5	2.9	1445	51	8	0.0055
6zu1	3.0	4793	172	84	0.0175
8b7y	3.0	4614	157	78	0.0169
8e35	2.27	3016	280	220	0.0729
5wf0	3.6	4802	273	194	0.0404
6pc7	2.5	3015	133	80	0.0265
7y7g	2.34	4558	150	64	0.014
6pc8	2.9	3015	133	76	0.0252
5kpw	3.9	4812	206	104	0.0216
7qiw	2.35	3379	160	76	0.0225
7afd	3.44	456	16	10	0.0219
6gc0	3.8	2848	277	216	0.0758
7qxb	3.91	278	40	30	0.1079
7lma	3.3	170	12	6	0.0353
7pjs	2.35	4727	175	88	0.0186
5uz4	5.8	1527	164	132	0.0864
6xgf	5.0	4760	286	166	0.0349
6zsc	3.5	2559	89	44	0.0172
6az3	2.5	3476	191	106	0.0305
6ydp	3.0	2648	86	52	0.0196
8e46	2.32	3015	186	124	0.0411
7evo	2.5	148	18	10	0.0676
6zp4	2.9	1796	72	44	0.0245
5mre	3.75	4286	221	106	0.0247
8oo0	3.1	5231	584	414	0.0791
6wdd	3.2	4810	184	94	0.0195
6q98	4.3	4920	605	476	0.0967
6y7c	3.8	1735	161	112	0.0646
8q7n	3.1	300	18	2	0.0067
8ir1	3.3	3644	253	116	0.0318
6r87	3.4	3671	196	92	0.0251
7ohx	3.3	1774	122	58	0.0327
5gad	3.7	3049	135	72	0.0236
7qca	2.79	3972	164	86	0.0217
5y88	3.46	337	40	8	0.0237
7xd5	2.84	406	14	8	0.0197
8hd7	3.52	419	20	12	0.0286
8fky	2.67	2809	134	60	0.0214
6mcb	3.4	116	16	4	0.0345
7y7c	2.51	4557	152	68	0.0149
6h4n	3.0	4636	189	104	0.0224
8e47	2.32	3016	339	260	0.0862
6n8m	3.5	3482	297	202	0.058
6w2s	3.47	2036	172	92	0.0452
7btb	3.22	3402	284	146	0.0429
8c8z	3.12	2324	87	30	0.0129
7pwo	2.75	4075	214	112	0.0275
7o1c	2.6	4638	160	76	0.0164
8btr	3.25	4467	286	134	0.03
8azw	2.14	3478	167	74	0.0213
6xu6	3.5	5638	588	348	0.0617
6i9r	3.9	1561	67	28	0.0179
6xiq	4.2	5401	635	430	0.0796
8i9r	3.1	2394	122	50	0.0209
7unv	2.7	4605	209	124	0.0269
8uye	5.9	135	2	2	0.0148
6ztj	3.4	4806	184	86	0.0179
6wdj	3.7	4810	210	116	0.0241
6swc	3.3	1593	144	108	0.0678
8ifc	2.9	4554	154	80	0.0176
8cee	3.7	1340	60	38	0.0284
5xjc	3.6	380	34	0	0.0
6ft6	3.9	3341	211	106	0.0317
7m4z	2.92	4373	160	94	0.0215
7uqz	2.44	3323	150	60	0.0181
8pv7	2.12	3435	160	64	0.0186
8br8	3.35	4363	276	128	0.0293
7z3o	3.3	5231	490	330	0.0631
5mmm	3.4	4585	168	94	0.0205
6wqn	2.9	2798	297	236	0.0843
7nar	3.0	1534	35	18	0.0117
6xdq	3.7	4761	286	166	0.0349
6gsm	5.15	1861	192	102	0.0548
8jdk	2.26	5586	290	128	0.0229
6zxg	2.6	1651	57	28	0.017
6ywe	2.99	4357	267	142	0.0326
8d8l	2.6	1506	39	20	0.0133
7bl3	3.5	3021	130	80	0.0265
6lqp	3.2	2023	192	88	0.0435
6wd7	3.9	4809	294	190	0.0395
7mt7	2.71	4912	258	168	0.0342
7bl5	3.3	3032	161	78	0.0257
6s0x	2.425	4557	386	266	0.0584
7n2v	2.54	4722	159	82	0.0174
7tre	3.5	224	20	10	0.0446
8bqx	3.8	5351	253	128	0.0239
8ch6	5.9	400	38	14	0.035
7xd7	3.02	405	22	14	0.0346
6dzi	3.46	4748	272	184	0.0388
8evq	2.72	5457	355	190	0.0348
6enf	3.2	4546	269	172	0.0378
8bh6	3.7	1547	58	30	0.0194
6yly	3.8	2898	214	108	0.0373
7aoi	3.5	758	198	48	0.0633
7wu0	3.3	1624	36	18	0.0111
6eri	3.0	4401	158	104	0.0236
7jsz	3.7	4655	256	150	0.0322
6o9j	3.9	4564	180	90	0.0197
8pv4	2.9	3493	158	62	0.0177
8hj4	3.1	113	2	2	0.0177
6wua	3.2	402	24	14	0.0348
8ifb	2.43	4554	138	64	0.0141
6lqv	4.8	1296	158	68	0.0525
6ha1	3.1	4622	184	116	0.0251
6wd9	3.7	4810	228	140	0.0291
6vwl	3.1	4593	193	102	0.0222
6wru	3.1	2777	134	98	0.0353
8a22	2.91	2685	233	116	0.0432
8agx	2.4	3642	142	46	0.0126
7aor	3.5	613	176	22	0.0359
5t62	3.3	3483	216	108	0.031
7msz	3.1	4836	504	404	0.0835
6osk	3.6	4642	188	122	0.0263
6wyv	2.75	3015	168	110	0.0365
7og4	3.8	2556	91	48	0.0188
7yg8	2.97	395	12	4	0.0101
8g4s	3.14	1673	82	40	0.0239
8r3v	3.28	6498	310	182	0.028
7otc	2.9	4556	178	94	0.0206
8e42	2.29	3016	135	68	0.0225
8j12	3.08	194	8	6	0.0309
7qix	2.53	1110	33	20	0.018
5tcu	3.9	4492	654	514	0.1144
8hd6	3.73	419	16	8	0.0191
8ceh	2.05	5241	235	100	0.0191
5uyq	3.8	4810	218	124	0.0258
7bl4	2.4	3016	114	66	0.0219
8b0j	3.99	160	46	32	0.2
7p7r	2.9	4625	144	72	0.0156
8op2	2.8	140	0	0	0.0
7wtz	3.0	1624	46	22	0.0135
7zta	2.7	4788	172	86	0.018
8fl6	2.62	3751	193	74	0.0197
7oyc	2.4	5006	274	152	0.0304
7pts	5.71	558	2	2	0.0036
7syo	4.6	1863	178	104	0.0558
7d0f	5.0	738	78	66	0.0894
6y57	3.5	5669	428	232	0.0409
8ca7	2.06	502	14	10	0.0199
7mpi	3.05	5183	346	170	0.0328
8fjl	3.27	436	0	0	0.0
5iqr	3.0	4794	169	100	0.0209
8c98	3.66	1017	38	30	0.0295
6r86	3.4	3539	205	88	0.0249
8cas	3.3	1848	108	54	0.0292
8fli	3.8	828	87	74	0.0894
7we6	3.2	120	36	0	0.0
6az1	2.7	1998	139	68	0.034
5tzs	5.1	629	33	12	0.0191
6j6g	3.2	550	78	14	0.0255
8cg8	2.57	5242	253	108	0.0206
6gaz	3.1	1048	12	12	0.0115
7qwq	2.83	3935	280	124	0.0315
7yg9	2.68	404	12	4	0.0099
8r6f	2.34	1177	39	26	0.0221
6zsa	4.0	2647	89	46	0.0174
6x6t	3.2	4759	286	166	0.0349
6p4g	3.1	1900	118	80	0.0421
7b9v	2.8	535	32	12	0.0224
6pc5	2.7	3015	123	70	0.0232
5gm6	3.5	361	42	4	0.0111
6gqb	3.9	5360	325	194	0.0362
6ogi	3.4	4656	473	352	0.0756
7jt3	3.7	4652	244	134	0.0288
8ipd	3.2	3756	334	150	0.0399
7yla	2.52	2994	130	86	0.0287
5jup	3.5	5422	334	140	0.0258
8b0i	4.28	103	14	6	0.0583
6zvj	3.8	1720	154	112	0.0651
6xu8	3.0	5634	610	380	0.0674
7n3o	3.8	222	8	2	0.009
8cmj	3.79	5083	294	156	0.0307
6hd7	3.4	3767	222	114	0.0303
6zs9	4.0	2487	87	40	0.0161
7q08	2.56	5180	259	126	0.0243
8rcm	3.59	6481	290	170	0.0262
6pc6	2.5	3015	121	56	0.0186
8a5i	2.3	3022	118	74	0.0245
8a63	3.1	3022	124	78	0.0258
7eln	3.0	172	46	10	0.0581
8oit	2.9	1704	63	24	0.0141
8c9a	4.86	648	24	18	0.0278
7syw	3.7	1960	148	92	0.0469
7abz	3.21	5016	311	204	0.0407
7asa	3.5	116	16	4	0.0345
6zm6	2.59	2714	97	48	0.0177
6wdi	4.0	4807	226	134	0.0279
7oi8	3.5	1221	45	18	0.0147
6n8l	3.6	3479	290	184	0.0529
8fle	2.48	3646	183	72	0.0197
7syq	3.8	1944	156	88	0.0453
7qi5	2.63	2826	126	62	0.0219
8apn	3.1	2773	234	126	0.0454
7s1i	2.48	4638	239	132	0.0285
8uu7	3.2	4613	176	86	0.0186
7syk	4.2	1859	134	74	0.0398
8c91	4.19	2077	67	34	0.0164
8toc	3.11	4269	122	60	0.0141
7ohp	3.9	1781	178	106	0.0595
7xui	3.61	111	6	2	0.018
7bge	3.6	465	30	20	0.043
8ove	2.6	5358	428	212	0.0396
8wi8	2.7	3143	94	48	0.0153
8c90	3.15	2219	83	48	0.0216
8e3l	2.35	3015	163	104	0.0345
6gc7	4.3	1901	155	114	0.06
6qik	3.1	3423	188	96	0.028
7zw0	2.4	5442	249	108	0.0198
7po4	2.56	1217	53	24	0.0197
6xmg	4.8	154	19	18	0.1169
6ost	4.2	4642	172	102	0.022
7too	2.7	3550	174	74	0.0208
5lj3	3.8	458	20	4	0.0087
8pv6	2.94	3374	134	56	0.0166
7nad	3.04	756	54	22	0.0291
7o5h	3.1	964	20	10	0.0104
7m4y	2.5	4453	140	84	0.0189
7unr	2.9	4605	218	128	0.0278
6sg9	3.1	80	26	14	0.175
